Index,Date,Flood,Flood_map
196,9/13/15,6,4
197,9/14/15,11,5
198,9/15/15,16,7
199,9/16/15,20,9
200,9/17/15,14,7
201,9/18/15,12,3
202,9/19/15,9,8
203,9/20/15,9,5
204,9/21/15,11,4
205,9/22/15,12,7
206,9/23/15,11,7
207,9/24/15,10,7
208,9/25/15,10,4
209,9/26/15,8,4
210,9/27/15,8,4
211,9/28/15,10,3
212,9/29/15,11,9
213,9/30/15,11,7
214,10/1/15,10,8
215,10/2/15,11,6
216,10/3/15,10,3
217,10/4/15,14,4
218,10/5/15,24,9
219,10/6/15,22,12
220,10/7/15,17,5
221,10/8/15,16,5
222,10/9/15,15,7
223,10/10/15,12,6
224,10/11/15,13,5
225,10/12/15,12,4
226,10/13/15,11,7
227,10/14/15,13,8
228,10/15/15,13,7
229,10/16/15,13,6
230,10/17/15,10,4
231,10/18/15,13,3
232,10/19/15,11,5
233,10/20/15,14,7
234,10/21/15,13,5
235,10/22/15,23,15
236,10/23/15,50,26
237,10/24/15,86,55
238,10/25/15,89,100
239,10/26/15,26,17
240,10/27/15,16,12
241,10/28/15,14,4
242,10/29/15,12,8
243,10/30/15,84,49
244,10/31/15,100,54
245,11/1/15,100,43
246,11/2/15,84,88
247,11/3/15,68,48
248,11/4/15,61,71
249,11/5/15,59,44
250,11/6/15,51,75
251,11/7/15,38,40
252,11/8/15,33,30
253,11/9/15,39,40
254,11/10/15,41,40
255,11/11/15,41,74
256,11/12/15,41,66
257,11/13/15,39,48
258,11/14/15,22,47
259,11/15/15,22,27
260,11/16/15,43,40
261,11/17/15,47,69
262,11/18/15,37,45
263,11/19/15,34,42
264,11/20/15,31,48
265,11/21/15,23,26
266,11/22/15,20,33
267,11/23/15,26,47
268,11/24/15,34,33
269,11/25/15,35,41
270,11/26/15,19,32
271,11/27/15,50,30
272,11/28/15,61,84
273,11/29/15,46,37
274,11/30/15,47,32
275,12/1/15,49,52
276,12/2/15,65,54
277,12/3/15,60,48
278,12/4/15,54,36
279,12/5/15,45,42
280,12/6/15,36,47
281,12/7/15,49,31
282,12/8/15,45,65
283,12/9/15,41,44
284,12/10/15,40,63
285,12/11/15,41,36
286,12/12/15,28,25
287,12/13/15,56,51
288,12/14/15,37,58
289,12/15/15,34,36
290,12/16/15,35,56
291,12/17/15,28,38
292,12/18/15,27,23
293,12/19/15,26,19
294,12/20/15,24,25
295,12/21/15,23,31
296,12/22/15,28,36
297,12/23/15,26,38
298,12/24/15,32,37
299,12/25/15,28,43
300,12/26/15,40,56
301,12/27/15,78,57
302,12/28/15,88,100
303,12/29/15,76,79
304,12/30/15,95,99
305,12/31/15,74,87
306,1/1/16,89,57
307,1/2/16,79,100
308,1/3/16,82,81
309,1/4/16,88,88
310,1/5/16,82,42
311,1/6/16,90,73
312,1/7/16,100,77
313,1/8/16,79,68
314,1/9/16,63,26
315,1/10/16,45,45
316,1/11/16,63,56
317,1/12/16,60,51
318,1/13/16,56,67
319,1/14/16,56,53
320,1/15/16,58,63
321,1/16/16,45,39
322,1/17/16,50,40
323,1/18/16,63,74
324,1/19/16,64,67
325,1/20/16,52,39
326,1/21/16,56,57
327,1/22/16,54,98
328,1/23/16,39,24
329,1/24/16,52,43
330,1/25/16,55,38
331,1/26/16,57,42
332,1/27/16,61,57
333,1/28/16,56,77
334,1/29/16,48,22
335,1/30/16,43,25
336,1/31/16,40,29
337,2/1/16,50,57
338,2/2/16,52,79
339,2/3/16,55,71
340,2/4/16,58,73
341,2/5/16,51,46
342,2/6/16,42,45
343,2/7/16,35,39
344,2/8/16,48,62
345,2/9/16,47,63
346,2/10/16,59,53
347,2/11/16,54,48
348,2/12/16,47,40
349,2/13/16,45,67
350,2/14/16,37,59
351,2/15/16,54,71
352,2/16/16,51,48
353,2/17/16,63,44
354,2/18/16,56,34
355,2/19/16,53,50
356,2/20/16,49,19
357,2/21/16,43,33
358,2/22/16,57,73
359,2/23/16,69,76
360,2/24/16,67,54
361,2/25/16,60,54
362,2/26/16,49,50
363,2/27/16,42,39
364,2/28/16,44,46
365,2/29/16,52,41
366,3/1/16,5,4
367,3/2/16,5,3
368,3/3/16,5,5
369,3/4/16,5,2
370,3/5/16,3,1
371,3/6/16,4,2
372,3/7/16,6,3
373,3/8/16,8,5
374,3/9/16,14,7
375,3/10/16,19,10
376,3/11/16,16,6
377,3/12/16,16,7
378,3/13/16,14,10
379,3/14/16,15,6
380,3/15/16,15,5
381,3/16/16,13,8
382,3/17/16,10,8
383,3/18/16,9,4
384,3/19/16,6,2
385,3/20/16,6,1
386,3/21/16,7,3
387,3/22/16,6,4
388,3/23/16,6,2
389,3/24/16,7,2
390,3/25/16,5,2
391,3/26/16,4,3
392,3/27/16,5,5
393,3/28/16,6,4
394,3/29/16,6,2
395,3/30/16,5,3
396,3/31/16,7,5
397,4/1/16,7,3
398,4/2/16,5,3
399,4/3/16,5,2
400,4/4/16,6,4
401,4/5/16,6,6
402,4/6/16,6,5
403,4/7/16,5,3
404,4/8/16,4,4
405,4/9/16,4,2
406,4/10/16,5,4
407,4/11/16,6,3
408,4/12/16,7,3
409,4/13/16,5,4
410,4/14/16,6,3
411,4/15/16,6,5
412,4/16/16,5,4
413,4/17/16,10,6
414,4/18/16,100,100
415,4/19/16,85,73
416,4/20/16,70,55
417,4/21/16,54,41
418,4/22/16,31,19
419,4/23/16, ,
420,4/24/16, ,
